FROMSTATIONAME,TOSTATIONAME,FLOW
徐泾东,虹桥火车站,1223
虹桥火车站,徐泾东,1785
虹桥火车站,虹桥2号航站楼,4333
虹桥2号航站楼,虹桥火车站,4851
虹桥2号航站楼,淞虹路,4105
淞虹路,虹桥2号航站楼,4635
淞虹路,北新泾,5031
北新泾,淞虹路,5046
北新泾,威宁路,5676
威宁路,北新泾,5409
威宁路,娄山关路,6061
娄山关路,威宁路,5895
娄山关路,中山公园,6529
中山公园,娄山关路,6841
中山公园,江苏路,6028
江苏路,中山公园,6658
江苏路,静安寺,8135
静安寺,江苏路,6897
静安寺,南京西路,8456
南京西路,静安寺,7873
南京西路,人民广场,8038
人民广场,南京西路,8220
人民广场,南京东路,9349
南京东路,人民广场,8686
南京东路,陆家嘴,8860
陆家嘴,南京东路,9718
陆家嘴,东昌路,6537
东昌路,陆家嘴,10487
东昌路,世纪大道,6267
世纪大道,东昌路,10567
世纪大道,上海科技馆,7767
上海科技馆,世纪大道,10974
上海科技馆,世纪公园,6883
世纪公园,上海科技馆,10890
世纪公园,龙阳路,6525
龙阳路,世纪公园,10490
龙阳路,张江高科,4603
张江高科,龙阳路,6686
张江高科,金科路,4020
金科路,张江高科,6237
金科路,广兰路,3038
广兰路,金科路,5886
广兰路,唐镇,2352
唐镇,广兰路,4916
唐镇,创新中路,2143
创新中路,唐镇,3578
创新中路,华夏东路,2067
华夏东路,创新中路,3386
华夏东路,川沙,2022
川沙,华夏东路,2504
川沙,凌空路,1517
凌空路,川沙,1201
凌空路,远东大道,1468
远东大道,凌空路,864
远东大道,海天三路,1497
海天三路,远东大道,825
海天三路,浦东国际机场,1357
浦东国际机场,海天三路,746
