stationnames,linename,lon,lat
徐泾东,地铁2号线(徐泾东-浦东国际机场),121.29487927379664,31.19026886327993
虹桥火车站,地铁2号线(徐泾东-浦东国际机场),121.31698004097382,31.19592455947813
虹桥2号航站楼,地铁2号线(徐泾东-浦东国际机场),121.32172604372542,31.19659605124147
淞虹路,地铁2号线(徐泾东-浦东国际机场),121.35484187218569,31.220001080800422
北新泾,地铁2号线(徐泾东-浦东国际机场),121.36940501710458,31.218305848849862
威宁路,地铁2号线(徐泾东-浦东国际机场),121.38242696981457,31.216666701571704
娄山关路,地铁2号线(徐泾东-浦东国际机场),121.39963073146214,31.21290652542745
中山公园,地铁2号线(徐泾东-浦东国际机场),121.41373564273864,31.22041076094213
江苏路,地铁2号线(徐泾东-浦东国际机场),121.4278857845281,31.221726714144122
静安寺,地铁2号线(徐泾东-浦东国际机场),121.44167858157878,31.22508411208896
南京西路,地铁2号线(徐泾东-浦东国际机场),121.45550746198595,31.23176643260941
人民广场,地铁2号线(徐泾东-浦东国际机场),121.46821242833369,31.23477693550272
南京东路,地铁2号线(徐泾东-浦东国际机场),121.47924428412828,31.23911535220653
陆家嘴,地铁2号线(徐泾东-浦东国际机场),121.49794977948895,31.240191163422505
东昌路,地铁2号线(徐泾东-浦东国际机场),121.51103796264,31.23538865645536
世纪大道,地铁2号线(徐泾东-浦东国际机场),121.52256449772648,31.23100111534736
上海科技馆,地铁2号线(徐泾东-浦东国际机场),121.54058926688705,31.22069337516232
世纪公园,地铁2号线(徐泾东-浦东国际机场),121.5466810635746,31.21147339791956
龙阳路,地铁2号线(徐泾东-浦东国际机场),121.55315410718144,31.20524621882207
张江高科,地铁2号线(徐泾东-浦东国际机场),121.58349951749912,31.20395598048356
金科路,地铁2号线(徐泾东-浦东国际机场),121.5977989899922,31.20636119514668
广兰路,地铁2号线(徐泾东-浦东国际机场),121.61697087791599,31.21308703855244
唐镇,地铁2号线(徐泾东-浦东国际机场),121.6519603736814,31.21643919587955
创新中路,地铁2号线(徐泾东-浦东国际机场),121.66947937207657,31.21564637885325
华夏东路,地铁2号线(徐泾东-浦东国际机场),121.67661293740723,31.198740900586728
川沙,地铁2号线(徐泾东-浦东国际机场),121.69373207022477,31.188757992937546
凌空路,地铁2号线(徐泾东-浦东国际机场),121.71974883887869,31.194859707038606
远东大道,地铁2号线(徐泾东-浦东国际机场),121.75109526861247,31.20142231923046
海天三路,地铁2号线(徐泾东-浦东国际机场),121.79262732526396,31.17059448437195
浦东国际机场,地铁2号线(徐泾东-浦东国际机场),121.80240290384077,31.151620958018466
浦东国际机场,地铁2号线(浦东国际机场-徐泾东),121.80240290384077,31.151620958018466
海天三路,地铁2号线(浦东国际机场-徐泾东),121.79262732526396,31.17059448437195
远东大道,地铁2号线(浦东国际机场-徐泾东),121.75109526861247,31.20142231923046
凌空路,地铁2号线(浦东国际机场-徐泾东),121.71974883887869,31.194859707038606
川沙,地铁2号线(浦东国际机场-徐泾东),121.69373207022477,31.188757992937546
华夏东路,地铁2号线(浦东国际机场-徐泾东),121.67661293740723,31.198740900586728
创新中路,地铁2号线(浦东国际机场-徐泾东),121.66947937207657,31.21564637885325
唐镇,地铁2号线(浦东国际机场-徐泾东),121.6519603736814,31.21643919587955
广兰路,地铁2号线(浦东国际机场-徐泾东),121.61697087791599,31.21308703855244
金科路,地铁2号线(浦东国际机场-徐泾东),121.5977989899922,31.20636119514668
张江高科,地铁2号线(浦东国际机场-徐泾东),121.58349951749912,31.20395598048356
龙阳路,地铁2号线(浦东国际机场-徐泾东),121.55315410718144,31.20524621882207
世纪公园,地铁2号线(浦东国际机场-徐泾东),121.5466810635746,31.21147339791956
上海科技馆,地铁2号线(浦东国际机场-徐泾东),121.54058926688705,31.22069337516232
世纪大道,地铁2号线(浦东国际机场-徐泾东),121.52256449772648,31.23100111534736
东昌路,地铁2号线(浦东国际机场-徐泾东),121.51103796264,31.23538865645536
陆家嘴,地铁2号线(浦东国际机场-徐泾东),121.49794977948895,31.240191163422505
南京东路,地铁2号线(浦东国际机场-徐泾东),121.47924428412828,31.23911535220653
人民广场,地铁2号线(浦东国际机场-徐泾东),121.46821242833369,31.23477693550272
南京西路,地铁2号线(浦东国际机场-徐泾东),121.45550746198595,31.23176643260941
静安寺,地铁2号线(浦东国际机场-徐泾东),121.44167858157878,31.22508411208896
江苏路,地铁2号线(浦东国际机场-徐泾东),121.4278857845281,31.221726714144122
中山公园,地铁2号线(浦东国际机场-徐泾东),121.41373564273864,31.22041076094213
娄山关路,地铁2号线(浦东国际机场-徐泾东),121.39963073146214,31.21290652542745
威宁路,地铁2号线(浦东国际机场-徐泾东),121.38242696981457,31.216666701571704
北新泾,地铁2号线(浦东国际机场-徐泾东),121.36940501710458,31.218305848849862
淞虹路,地铁2号线(浦东国际机场-徐泾东),121.35484187218569,31.220001080800422
虹桥2号航站楼,地铁2号线(浦东国际机场-徐泾东),121.32172604372542,31.19659605124147
虹桥火车站,地铁2号线(浦东国际机场-徐泾东),121.31698004097382,31.19592455947813
徐泾东,地铁2号线(浦东国际机场-徐泾东),121.29487927379664,31.19026886327993
